No.	Time	Source		Destination	Protocol Length	Info
4657	32.307	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4659	32.310	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4661	32.317	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4663	32.330	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4665	32.337	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4667	32.339	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4669	32.346	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4671	32.359	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4673	32.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4675	32.370	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4677	32.377	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4679	32.379	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4681	32.387	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4683	32.400	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4685	32.407	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4687	32.409	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4689	32.419	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4691	32.429	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4693	32.437	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4695	32.440	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4697	32.447	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4699	32.460	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4701	32.467	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4703	32.469	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4705	32.477	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4707	32.490	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4709	32.497	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4711	32.499	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4713	32.507	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4715	32.509	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4717	32.517	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4719	32.530	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4721	32.539	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4723	32.543	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4725	32.548	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4727	32.560	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4729	32.567	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4731	32.569	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4733	32.577	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4735	32.590	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4737	32.597	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4739	32.599	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4741	32.607	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4743	32.620	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4745	32.627	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4747	32.629	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4749	32.636	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4751	32.649	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4753	32.657	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4755	32.660	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4757	32.668	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4759	32.669	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4761	32.677	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4763	32.690	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4765	32.697	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4767	32.699	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4769	32.711	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4771	32.720	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4773	32.727	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4775	32.730	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4777	32.737	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4779	32.750	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4781	32.757	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4783	32.759	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4785	32.767	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4787	32.779	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4789	32.789	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4791	32.791	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4793	32.802	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4795	32.810	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4797	32.819	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4799	32.819	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4801	32.827	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4803	32.829	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4805	32.841	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4807	32.849	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4809	32.857	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4811	32.860	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4813	32.868	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4815	32.879	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4817	32.889	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4819	32.891	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4821	32.898	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4823	32.910	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4825	32.918	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4827	32.919	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4829	32.927	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4831	32.939	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4833	32.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4835	32.949	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4837	32.957	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4839	32.959	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4841	32.967	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4843	32.980	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4845	32.988	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4847	32.990	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4849	32.997	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4851	33.009	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4853	33.017	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4855	33.020	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4857	33.038	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4859	33.040	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4861	33.047	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4863	33.049	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4865	33.056	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4867	33.070	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4869	33.077	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4871	33.079	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4873	33.087	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4875	33.100	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4877	33.107	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4879	33.109	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4881	33.117	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4883	33.119	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4885	33.126	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4887	33.140	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4889	33.147	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4891	33.149	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4893	33.158	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4895	33.170	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4897	33.177	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4899	33.179	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4901	33.187	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4903	33.200	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4905	33.207	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4907	33.209	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4909	33.217	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4911	33.229	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4913	33.237	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4915	33.239	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4917	33.247	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4919	33.260	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4921	33.267	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4923	33.270	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4925	33.279	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4927	33.279	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4929	33.292	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4931	33.300	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4933	33.307	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4935	33.310	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4937	33.317	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4939	33.329	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4941	33.337	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4943	33.339	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4945	33.347	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4947	33.360	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4949	33.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4951	33.369	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4953	33.377	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4955	33.390	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4957	33.399	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4959	33.400	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4961	33.407	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4963	33.409	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4965	33.417	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4967	33.429	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4969	33.437	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4971	33.439	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4973	33.454	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4975	33.460	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4977	33.470	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4979	33.472	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4981	33.477	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4983	33.490	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4985	33.497	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4987	33.499	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4989	33.509	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4991	33.520	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4993	33.529	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
4995	33.534	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4997	33.546	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
4999	33.550	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5001	33.558	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5003	33.559	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5005	33.566	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5007	33.569	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5009	33.577	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5011	33.590	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5013	33.597	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5015	33.599	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5017	33.607	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5019	33.619	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5021	33.627	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5023	33.630	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5025	33.637	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5027	33.649	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5029	33.657	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5031	33.659	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5033	33.671	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5035	33.680	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5037	33.687	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5039	33.690	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5041	33.697	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5043	33.700	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5045	33.707	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5047	33.720	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5049	33.727	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5051	33.729	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5053	33.737	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5055	33.751	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5057	33.758	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5059	33.759	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5061	33.767	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5063	33.780	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5065	33.787	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5067	33.790	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5069	33.797	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5071	33.810	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5073	33.817	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5075	33.820	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5077	33.827	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5079	33.840	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5081	33.847	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5083	33.849	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5085	33.857	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5087	33.860	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5089	33.867	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5091	33.881	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5093	33.888	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5095	33.889	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5097	33.901	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5099	33.909	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5101	33.917	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5103	33.919	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5105	33.929	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5107	33.940	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5109	33.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5111	33.950	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5113	33.957	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5115	33.970	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5117	33.977	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5119	33.979	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5121	33.999	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5123	34.001	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5125	34.009	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5127	34.016	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5129	34.019	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5131	34.019	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5133	34.027	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5135	34.041	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5137	34.048	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5139	34.050	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5141	34.057	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5143	34.070	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5145	34.077	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5147	34.080	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5149	34.094	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5151	34.100	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5153	34.107	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5155	34.110	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5157	34.117	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5159	34.130	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5161	34.137	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5163	34.139	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5165	34.147	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5167	34.149	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5169	34.157	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5171	34.170	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5173	34.177	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5175	34.180	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5177	34.187	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5179	34.199	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5181	34.207	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5183	34.210	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5185	34.217	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5187	34.229	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5189	34.237	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5191	34.239	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5193	34.246	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5195	34.260	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5197	34.267	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5199	34.270	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5201	34.281	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5203	34.289	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5205	34.297	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5207	34.299	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5209	34.307	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5211	34.310	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5213	34.317	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5215	34.329	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5217	34.337	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5219	34.339	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5221	34.346	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5223	34.360	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5225	34.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5227	34.369	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5229	34.383	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5231	34.389	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5233	34.397	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5235	34.399	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5237	34.406	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5239	34.420	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5241	34.427	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5243	34.429	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5245	34.436	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5247	34.450	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5249	34.457	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5251	34.459	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5253	34.467	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5255	34.469	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5257	34.477	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5259	34.490	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5261	34.497	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5263	34.500	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5265	34.507	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5267	34.520	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5269	34.527	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5271	34.529	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5273	34.537	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5275	34.550	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5277	34.557	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5279	34.559	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5281	34.567	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5283	34.580	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5285	34.587	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5287	34.590	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5289	34.597	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5291	34.600	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5293	34.607	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5295	34.620	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5297	34.627	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5299	34.629	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5301	34.637	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5303	34.651	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5305	34.658	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5307	34.659	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5309	34.667	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5311	34.679	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5313	34.687	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5315	34.689	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5317	34.696	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5319	34.709	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5321	34.717	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5323	34.719	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5325	34.734	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5327	34.740	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5329	34.749	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5331	34.752	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5333	34.757	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5335	34.759	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5337	34.774	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5339	34.780	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5341	34.789	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5343	34.792	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5345	34.797	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5347	34.810	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5349	34.817	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5351	34.819	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5353	34.826	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5355	34.841	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5357	34.848	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5359	34.849	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5361	34.857	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5363	34.869	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5365	34.877	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5367	34.879	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5369	34.887	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5371	34.889	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5373	34.897	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5375	34.909	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5377	34.917	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5379	34.919	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5381	34.926	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5383	34.939	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5385	34.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5387	34.949	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5389	34.957	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5391	34.970	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5393	34.977	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5395	34.979	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
5397	34.987	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
5399	35.000	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
