No.	Time	Source		Destination	Protocol Length	Info
339	16.640	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
341	16.647	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
343	16.649	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
345	16.663	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
347	16.670	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
349	16.678	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
351	16.679	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
353	16.689	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
355	16.700	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
357	16.707	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
359	16.709	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
361	16.717	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
363	16.730	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
365	16.737	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
367	16.739	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
369	16.747	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
371	16.750	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
373	16.757	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
375	16.771	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
377	16.778	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
379	16.780	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
381	16.797	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
383	16.800	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
385	16.809	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
387	16.822	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
389	16.826	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
391	16.831	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
393	16.840	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
395	16.846	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
397	16.851	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
399	16.860	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
401	16.868	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
403	16.869	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
405	16.877	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
407	16.890	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
409	16.897	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
411	16.900	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
413	16.907	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
415	16.910	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
417	16.917	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
419	16.930	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
421	16.937	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
423	16.939	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
425	16.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
427	16.961	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
429	16.968	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
431	16.969	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
433	16.977	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
435	16.990	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
437	16.998	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
439	17.000	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
441	17.008	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
443	17.020	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
445	17.027	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
447	17.030	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
449	17.040	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
451	17.047	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
453	17.051	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
455	17.060	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
457	17.068	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
459	17.070	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
461	17.077	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
463	17.090	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
465	17.097	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
467	17.100	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
469	17.111	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
471	17.120	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
473	17.127	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
475	17.129	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
477	17.137	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
479	17.151	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
481	17.158	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
483	17.159	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
485	17.166	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
487	17.180	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
489	17.187	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
491	17.190	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
493	17.197	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
495	17.200	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
497	17.207	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
499	17.220	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
501	17.227	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
503	17.230	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
505	17.237	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
507	17.250	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
509	17.257	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
511	17.259	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
513	17.267	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
515	17.279	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
517	17.287	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
519	17.289	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
521	17.297	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
523	17.310	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
525	17.317	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
527	17.320	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
529	17.327	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
531	17.330	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
533	17.337	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
535	17.350	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
537	17.357	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
539	17.360	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
541	17.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
543	17.380	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
545	17.387	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
547	17.389	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
549	17.397	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
551	17.410	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
553	17.417	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
555	17.420	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
557	17.441	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
559	17.441	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
561	17.450	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
563	17.458	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
565	17.462	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
567	17.470	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
569	17.480	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
571	17.483	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
573	17.488	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
575	17.489	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
577	17.497	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
579	17.511	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
581	17.518	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
583	17.519	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
585	17.528	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
587	17.540	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
589	17.549	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
591	17.550	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
593	17.559	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
595	17.570	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
597	17.577	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
599	17.580	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
601	17.587	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
603	17.600	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
605	17.607	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
607	17.609	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
609	17.617	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
611	17.630	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
613	17.637	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
615	17.640	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
617	17.647	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
619	17.649	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
621	17.657	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
623	17.670	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
625	17.677	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
627	17.680	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
629	17.687	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
631	17.700	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
633	17.708	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
635	17.710	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
637	17.717	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
639	17.730	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
641	17.737	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
643	17.740	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
645	17.747	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
647	17.760	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
649	17.770	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
651	17.771	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
653	17.777	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
655	17.779	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
657	17.787	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
659	17.800	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
661	17.809	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
663	17.809	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
665	17.817	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
667	17.830	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
669	17.839	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
671	17.839	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
673	17.847	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
675	17.860	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
677	17.867	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
679	17.869	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
681	17.877	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
683	17.889	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
685	17.897	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
687	17.899	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
689	17.907	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
691	17.920	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
693	17.927	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
695	17.929	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
697	17.937	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
699	17.939	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
701	17.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
703	17.960	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
705	17.967	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
707	17.970	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
709	17.977	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
711	17.990	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
713	17.997	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
715	18.000	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
717	18.007	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
719	18.020	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
721	18.027	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
723	18.030	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
725	18.037	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
727	18.050	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
729	18.058	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
731	18.059	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
733	18.067	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
735	18.080	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
737	18.088	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
739	18.089	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
741	18.100	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
743	18.102	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
745	18.112	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
747	18.120	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
749	18.129	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
751	18.133	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
753	18.138	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
755	18.150	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
757	18.160	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
759	18.162	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
